ran x swAll,ran x swCritical,ran x swEdges,ran x shCritical,ran x shWhole,grm x swAll,grm x swCritical,grm x swEdges,grm x shCritical,grm x shWhole,grj x swAll,grj x swCritical,grj x swEdges,grj x shCritical,grj x shWhole,
inst/taillard/tai04_04_01.txt,318,402,367,350,315,356,343,355,381,376,342,333,339,324,329,
inst/taillard/tai04_04_02.txt,391,389,389,393,386,420,433,418,436,431,423,427,435,399,410,
inst/taillard/tai04_04_03.txt,449,450,441,474,510,482,479,456,476,517,461,501,501,478,510,
inst/taillard/tai04_04_04.txt,399,424,409,432,439,474,468,467,479,468,473,459,483,453,469,
inst/taillard/tai04_04_05.txt,461,515,538,506,503,552,549,544,558,552,536,564,535,532,514,
inst/taillard/tai04_04_06.txt,351,319,326,353,350,375,380,417,390,399,292,415,388,385,401,
inst/taillard/tai04_04_07.txt,335,315,341,340,338,344,374,370,365,399,318,402,333,383,371,
inst/taillard/tai04_04_08.txt,425,424,457,449,430,492,474,470,483,504,463,463,440,424,441,
inst/taillard/tai04_04_09.txt,492,497,508,511,517,446,486,511,505,483,491,471,495,474,512,
inst/taillard/tai04_04_10.txt,319,401,393,389,355,373,414,383,377,388,319,427,379,422,409,
inst/taillard/tai05_05_01.txt,597,608,650,621,636,547,584,577,609,626,560,616,575,625,587,
inst/taillard/tai05_05_02.txt,448,473,428,481,460,455,579,557,535,549,588,555,534,565,558,
inst/taillard/tai05_05_03.txt,634,648,640,658,671,653,643,677,648,647,665,607,670,600,613,
inst/taillard/tai05_05_04.txt,676,613,630,645,643,638,671,647,583,606,642,643,629,626,632,
inst/taillard/tai05_05_05.txt,670,652,628,633,654,635,671,641,659,624,621,638,593,606,626,
inst/taillard/tai05_05_06.txt,656,666,638,673,648,589,660,641,629,601,638,666,619,652,658,
inst/taillard/tai05_05_07.txt,505,562,585,566,548,598,614,609,633,621,602,552,627,612,582,
inst/taillard/tai05_05_08.txt,561,537,556,573,582,568,577,603,609,594,597,564,564,588,612,
inst/taillard/tai05_05_09.txt,674,660,680,670,665,670,705,702,658,712,707,696,678,662,680,
inst/taillard/tai05_05_10.txt,652,613,591,618,677,644,624,636,637,651,648,677,664,671,686,
inst/taillard/tai07_07_01.txt,869,923,905,899,931,875,907,898,923,887,920,877,897,887,913,
inst/taillard/tai07_07_02.txt,992,955,938,942,982,964,971,972,902,969,950,977,949,949,1010,
inst/taillard/tai07_07_03.txt,858,897,917,922,906,996,976,1031,965,1012,995,968,993,927,959,
inst/taillard/tai07_07_04.txt,897,905,895,901,895,955,936,927,915,978,930,938,915,902,945,
inst/taillard/tai07_07_05.txt,841,883,884,872,862,882,901,900,896,896,899,866,892,904,898,
inst/taillard/tai07_07_06.txt,858,886,877,895,904,928,930,925,969,957,975,942,992,978,981,
inst/taillard/tai07_07_07.txt,844,836,894,867,879,944,950,942,940,932,924,943,971,948,921,
inst/taillard/tai07_07_08.txt,863,859,834,845,851,906,865,880,890,858,827,873,861,878,878,
inst/taillard/tai07_07_09.txt,915,960,917,880,904,908,926,914,900,893,906,956,940,927,1000,
inst/taillard/tai07_07_10.txt,791,827,828,812,839,871,866,865,878,894,820,866,836,862,901,
inst/taillard/tai10_10_01.txt,1318,1314,1338,1340,1332,1404,1391,1379,1394,1398,1382,1398,1391,1374,1382,
inst/taillard/tai10_10_02.txt,1187,1295,1263,1273,1238,1323,1300,1295,1263,1282,1262,1268,1278,1250,1289,
inst/taillard/tai10_10_03.txt,1280,1228,1249,1291,1275,1332,1340,1339,1299,1321,1290,1319,1325,1293,1320,
inst/taillard/tai10_10_04.txt,1163,1171,1193,1162,1178,1248,1251,1275,1231,1281,1241,1246,1278,1230,1279,
inst/taillard/tai10_10_05.txt,1317,1253,1272,1347,1334,1359,1384,1388,1407,1409,1374,1402,1406,1358,1428,
inst/taillard/tai10_10_06.txt,1169,1168,1137,1122,1159,1220,1298,1240,1267,1255,1236,1258,1211,1221,1244,
inst/taillard/tai10_10_07.txt,1303,1319,1311,1303,1277,1318,1308,1300,1334,1350,1313,1377,1301,1344,1319,
inst/taillard/tai10_10_08.txt,1272,1264,1282,1260,1280,1238,1272,1271,1259,1261,1245,1305,1298,1305,1314,
inst/taillard/tai10_10_09.txt,1306,1257,1252,1257,1274,1315,1307,1293,1297,1277,1318,1312,1317,1358,1282,
inst/taillard/tai10_10_10.txt,1264,1256,1296,1247,1290,1248,1282,1276,1279,1266,1312,1315,1330,1312,1316,
inst/taillard/tai15_15_01.txt,1953,1960,1957,1944,1948,1990,1982,1990,1977,2027,1975,1981,1988,1987,1992,
inst/taillard/tai15_15_02.txt,2009,2024,2033,2034,2022,2039,2025,2055,2050,2069,2064,2067,2042,2052,2069,
inst/taillard/tai15_15_03.txt,1945,1918,1923,1931,1959,1976,1959,1966,1972,1963,1963,1946,1955,1973,1963,
inst/taillard/tai15_15_04.txt,2017,2009,2044,2026,2003,2024,2042,1997,2008,2024,2003,2034,2067,2009,2040,
inst/taillard/tai15_15_05.txt,2009,2042,1982,2032,2017,2079,2083,2087,2094,2070,2068,2087,2062,2099,2069,
inst/taillard/tai15_15_06.txt,2035,2077,2045,2055,2055,2004,2021,2022,2012,2035,2033,2044,1988,2044,2033,
inst/taillard/tai15_15_07.txt,1942,1976,1923,1970,1973,2041,2041,2038,2009,2029,2047,2018,2038,2045,2030,
inst/taillard/tai15_15_08.txt,1989,2008,1956,1983,1985,1993,1966,1986,1981,2007,2007,1977,1989,1994,1976,
inst/taillard/tai15_15_09.txt,2019,2013,1996,1992,2001,2040,2036,2045,2057,2007,2038,2035,2038,2025,2038,
inst/taillard/tai15_15_10.txt,1964,1941,1957,1947,1956,2005,1981,2021,2020,1994,2002,2012,2019,2013,2021,
inst/taillard/tai20_20_01.txt,2589,2624,2588,2606,2599,2674,2611,2639,2684,2666,2684,2648,2698,2653,2706,
inst/taillard/tai20_20_02.txt,2797,2786,2801,2782,2769,2823,2827,2831,2827,2831,2826,2817,2846,2852,2819,
inst/taillard/tai20_20_03.txt,2750,2756,2716,2734,2725,2715,2738,2764,2747,2759,2704,2767,2777,2779,2752,
inst/taillard/tai20_20_04.txt,2801,2792,2737,2803,2786,2828,2807,2799,2820,2816,2836,2810,2818,2844,2810,
inst/taillard/tai20_20_05.txt,2787,2783,2762,2770,2805,2852,2786,2821,2830,2850,2807,2776,2836,2862,2804,
inst/taillard/tai20_20_06.txt,2631,2640,2673,2697,2643,2739,2713,2718,2767,2741,2727,2737,2718,2703,2705,
inst/taillard/tai20_20_07.txt,2819,2808,2797,2800,2808,2893,2874,2854,2828,2831,2898,2888,2872,2870,2912,
inst/taillard/tai20_20_08.txt,2687,2678,2699,2714,2704,2733,2741,2745,2735,2738,2743,2728,2726,2737,2763,
inst/taillard/tai20_20_09.txt,2807,2833,2768,2811,2809,2846,2799,2833,2834,2792,2841,2831,2843,2835,2822,
inst/taillard/tai20_20_10.txt,2682,2740,2709,2710,2756,2809,2822,2786,2793,2829,2828,2763,2774,2832,2826,
inst/brucker/j3-per0-1,2072,2104,2089,2107,2075,2080,2018,2056,2038,2029,2009,2119,2050,2059,2124,
