ran x swAll,ran x swCritical,ran x swEdges,ran x shWhole,grm x swAll,grm x swCritical,grm x swEdges,grm x shWhole,grj x swAll,grj x swCritical,grj x swEdges,grj x shWhole,
inst/taillard/tai04_04_01.txt,22,19,19,19,16,19,19,19,14,19,19,19,
inst/taillard/tai04_04_02.txt,20,20,20,20,23,23,23,23,20,20,20,20,
inst/taillard/tai04_04_03.txt,23,23,23,23,21,21,26,26,26,26,26,26,
inst/taillard/tai04_04_04.txt,19,20,20,20,21,21,23,23,24,24,24,19,
inst/taillard/tai04_04_05.txt,23,23,23,23,27,27,27,27,26,26,26,26,
inst/taillard/tai04_04_06.txt,15,15,15,15,23,23,23,23,19,19,19,19,
inst/taillard/tai04_04_07.txt,15,15,15,15,18,17,17,17,17,22,22,22,
inst/taillard/tai04_04_08.txt,24,23,23,23,22,25,25,25,22,23,23,23,
inst/taillard/tai04_04_09.txt,25,25,25,25,25,24,24,24,24,23,23,23,
inst/taillard/tai04_04_10.txt,22,22,22,22,19,19,19,19,22,22,22,22,
inst/taillard/tai05_05_01.txt,31,28,28,28,29,30,30,30,30,28,28,28,
inst/taillard/tai05_05_02.txt,26,26,28,28,26,28,28,28,24,24,24,24,
inst/taillard/tai05_05_03.txt,32,35,35,35,33,33,31,31,29,33,33,33,
inst/taillard/tai05_05_04.txt,31,32,30,30,31,33,33,33,32,28,28,28,
inst/taillard/tai05_05_05.txt,32,34,34,34,34,32,32,32,31,30,30,30,
inst/taillard/tai05_05_06.txt,33,32,32,32,29,32,32,32,33,31,31,31,
inst/taillard/tai05_05_07.txt,25,26,26,26,30,30,28,28,30,31,31,31,
inst/taillard/tai05_05_08.txt,24,30,30,30,28,28,27,27,26,30,30,30,
inst/taillard/tai05_05_09.txt,34,34,34,34,35,33,33,32,37,37,32,32,
inst/taillard/tai05_05_10.txt,33,32,32,32,33,31,31,31,31,31,31,31,
inst/taillard/tai07_07_01.txt,42,49,49,49,41,46,46,46,42,47,41,41,
inst/taillard/tai07_07_02.txt,49,45,49,49,44,46,46,46,49,49,49,49,
inst/taillard/tai07_07_03.txt,46,47,42,42,49,46,49,49,49,52,52,52,
inst/taillard/tai07_07_04.txt,42,48,48,48,45,46,49,49,47,45,45,46,
inst/taillard/tai07_07_05.txt,39,43,43,43,40,46,42,42,38,44,39,39,
inst/taillard/tai07_07_06.txt,43,45,45,45,45,45,45,45,51,44,50,50,
inst/taillard/tai07_07_07.txt,40,45,43,43,43,46,46,46,46,47,47,47,
inst/taillard/tai07_07_08.txt,38,41,43,43,45,44,44,44,45,43,43,43,
inst/taillard/tai07_07_09.txt,43,44,48,48,46,46,46,46,47,44,44,44,
inst/taillard/tai07_07_10.txt,38,44,44,44,45,41,44,44,45,41,41,44,
inst/taillard/tai10_10_01.txt,65,62,67,67,63,65,67,67,69,68,70,70,
inst/taillard/tai10_10_02.txt,57,62,65,65,64,63,64,64,62,65,59,59,
inst/taillard/tai10_10_03.txt,60,66,62,62,61,67,62,62,66,67,65,65,
inst/taillard/tai10_10_04.txt,57,60,58,58,61,62,62,57,66,59,59,64,
inst/taillard/tai10_10_05.txt,66,68,66,66,68,68,66,66,66,75,67,67,
inst/taillard/tai10_10_06.txt,58,57,59,59,66,59,64,64,61,60,62,62,
inst/taillard/tai10_10_07.txt,61,69,63,63,65,66,69,69,65,66,64,64,
inst/taillard/tai10_10_08.txt,62,60,63,63,72,66,66,66,69,64,64,64,
inst/taillard/tai10_10_09.txt,65,60,59,59,63,69,61,61,66,65,61,61,
inst/taillard/tai10_10_10.txt,68,60,65,65,63,60,64,64,65,64,64,64,
inst/taillard/tai15_15_01.txt,96,100,97,97,98,95,103,103,98,97,93,93,
inst/taillard/tai15_15_02.txt,107,100,102,102,105,100,103,103,100,99,107,107,
inst/taillard/tai15_15_03.txt,96,96,95,95,101,90,101,101,96,97,102,102,
inst/taillard/tai15_15_04.txt,101,112,103,103,103,105,100,100,104,101,99,99,
inst/taillard/tai15_15_05.txt,105,101,106,106,107,110,105,105,106,107,98,98,
inst/taillard/tai15_15_06.txt,108,110,104,104,105,111,100,100,100,95,106,106,
inst/taillard/tai15_15_07.txt,98,100,95,95,108,106,102,109,98,104,99,99,
inst/taillard/tai15_15_08.txt,100,94,103,103,102,103,99,99,96,87,98,98,
inst/taillard/tai15_15_09.txt,103,101,102,102,102,96,97,97,109,102,97,97,
inst/taillard/tai15_15_10.txt,104,97,98,98,97,105,95,95,101,104,99,105,
inst/taillard/tai20_20_01.txt,136,133,128,128,134,131,131,131,128,131,140,140,
inst/taillard/tai20_20_02.txt,134,138,136,136,147,137,141,141,143,139,138,138,
inst/taillard/tai20_20_03.txt,129,144,145,145,143,130,138,139,133,142,136,136,
inst/taillard/tai20_20_04.txt,136,146,137,137,137,137,143,143,143,141,133,133,
inst/taillard/tai20_20_05.txt,134,138,137,137,148,142,142,142,135,140,144,149,
inst/taillard/tai20_20_06.txt,138,127,140,140,134,135,132,132,139,134,133,133,
inst/taillard/tai20_20_07.txt,141,147,148,148,144,145,147,147,146,142,137,137,
inst/taillard/tai20_20_08.txt,147,140,137,137,143,140,135,135,136,142,136,136,
inst/taillard/tai20_20_09.txt,146,138,134,134,147,135,141,141,140,141,142,142,
inst/taillard/tai20_20_10.txt,139,135,130,130,141,144,131,131,140,139,145,145,
inst/brucker/j3-per0-1,109,109,109,109,84,84,84,84,105,105,105,105,
inst/brucker/j3-per0-2,68,97,97,97,124,124,124,124,95,95,95,95,
inst/brucker/j3-per10-0,96,95,95,95,95,95,95,95,95,95,95,95,
inst/brucker/j3-per10-1,85,85,85,85,91,91,91,91,107,107,107,107,
inst/brucker/j3-per10-2,94,94,94,94,93,93,93,93,100,94,94,94,
inst/brucker/j3-per20-0,86,86,86,86,86,86,86,86,86,75,75,75,
inst/brucker/j3-per20-1,72,72,72,72,83,83,83,83,84,84,84,84,
inst/brucker/j3-per20-2,92,92,92,92,97,97,99,99,94,94,94,94,
inst/brucker/j4-per0-0,114,114,102,102,121,121,121,121,116,116,116,116,
inst/brucker/j4-per0-1,115,115,115,115,112,110,110,110,111,118,118,118,
inst/brucker/j4-per0-2,103,115,115,115,126,126,107,107,133,133,133,133,
inst/brucker/j4-per10-0,128,128,128,128,105,105,105,105,138,138,138,138,
inst/brucker/j4-per10-1,91,106,106,106,109,89,89,89,102,102,107,107,
inst/brucker/j4-per10-2,99,99,99,99,103,103,103,103,101,101,101,101,
inst/brucker/j4-per20-0,103,103,103,103,80,105,105,105,125,126,126,126,
inst/brucker/j4-per20-1,86,91,91,91,116,116,100,100,99,99,99,99,
inst/brucker/j4-per20-2,88,88,88,88,98,98,98,98,110,110,110,110,
inst/brucker/j5-per0-0,99,102,102,102,113,114,114,114,109,111,111,111,
inst/brucker/j5-per0-1,92,107,107,107,120,120,119,119,133,180,180,180,
inst/brucker/j5-per0-2,130,106,106,106,118,110,110,110,119,119,112,112,
inst/brucker/j5-per10-0,102,104,104,104,118,126,126,126,101,117,117,117,
inst/brucker/j5-per10-1,101,86,86,86,112,112,113,113,120,123,123,123,
inst/brucker/j5-per10-2,119,95,95,95,107,118,118,118,117,101,101,101,
